datetime_utc,portfolio,symbol,action,qty,price_exec,slippage_bps,liquidity_impact_bps,fees,gross_amount,post_trade_cash,post_trade_position,signal_snapshot,rationale,run_id
2025-11-07T17:14:47.749850+00:00,portfolio_paper_reasonable,ICLN,BUY,34.2027,17.262245,10.0,0.0,0.0,-590.42,6809.87,34.2027,"{""TS"":0.453035,""NS"":0.564672,""CDS"":0.49769,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T17:14:47.750015+00:00,portfolio_paper_reasonable,GOOGL,BUY,2.1395,275.96569,10.0,0.0,0.0,-590.43,6219.44,10.5649,"{""TS"":0.479639,""NS"":0.405822,""CDS"":0.450112,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T17:14:47.750160+00:00,portfolio_paper_reasonable,BE,BUY,4.6802,126.151025,10.0,0.0,0.0,-590.41,5629.03,4.6802,"{""TS"":0.467333,""NS"":0.414775,""CDS"":0.44631,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T17:14:47.750290+00:00,portfolio_paper_reasonable,DOCN,BUY,12.611,46.81677,10.0,0.0,0.0,-590.41,5038.62,12.611,"{""TS"":0.602087,""NS"":0.210734,""CDS"":0.445546,""wT"":0.6,""wN"":0.4}",score>buy,19175682122
2025-11-07T18:20:48.011356+00:00,portfolio_paper_aggressive_trades,ICLN,BUY,56.3326,17.412395,10.0,0.0,0.0,-980.89,3007.89,56.3326,"{""TS"":0.476916,""NS"":0.56297,""CDS"":0.511338,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.011579+00:00,portfolio_paper_aggressive_trades,JPM,BUY,3.1454,311.85154,10.0,0.0,0.0,-980.9,2027.0,3.1454,"{""TS"":0.528508,""NS"":0.365441,""CDS"":0.463281,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.011783+00:00,portfolio_paper_aggressive_trades,BE,BUY,7.6394,128.39827,10.0,0.0,0.0,-980.89,1046.11,7.6394,"{""TS"":0.483134,""NS"":0.433288,""CDS"":0.463196,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.011946+00:00,portfolio_paper_aggressive_trades,GOOGL,BUY,3.5371,277.30703,10.0,0.0,0.0,-980.86,65.25,17.5785,"{""TS"":0.497158,""NS"":0.383475,""CDS"":0.451685,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.012094+00:00,portfolio_paper_aggressive_trades,ILMN,BUY,0.0001,120.595475,10.0,0.0,0.0,-0.01,65.24,0.0001,"{""TS"":0.592654,""NS"":0.236585,""CDS"":0.450226,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.014691+00:00,portfolio_max_autotrader,ASTS,SELL,1.0,66.62331,10.0,0.0,0.0,66.62,2427.35,5.49,"{""TS"":-0.545925,""NS"":0.057217,""CDS"":-0.304668,""wT"":0.6,""wN"":0.4}",score<sell,19177337926
2025-11-07T18:20:48.014876+00:00,portfolio_max_autotrader,QBTS,SELL,32.0,27.43254,10.0,0.0,0.0,877.84,3305.19,97.08,"{""TS"":-0.547446,""NS"":0.176274,""CDS"":-0.257958,""wT"":0.6,""wN"":0.4}",score<sell,19177337926
2025-11-07T18:20:48.015022+00:00,portfolio_max_autotrader,QUBT,SELL,10.0,12.1878,10.0,0.0,0.0,121.88,3427.07,33.39,"{""TS"":-0.625934,""NS"":0.071132,""CDS"":-0.347108,""wT"":0.6,""wN"":0.4}",score<sell,19177337926
2025-11-07T18:20:48.015171+00:00,portfolio_max_autotrader,RGTI,SELL,1.0,31.703265,10.0,0.0,0.0,31.7,3458.78,6.17,"{""TS"":-0.566101,""NS"":0.099223,""CDS"":-0.299971,""wT"":0.6,""wN"":0.4}",score<sell,19177337926
2025-11-07T18:20:48.015305+00:00,portfolio_max_autotrader,RKLB,SELL,1.0,48.71124,10.0,0.0,0.0,48.71,3507.49,4.27,"{""TS"":-0.658742,""NS"":0.046439,""CDS"":-0.376669,""wT"":0.6,""wN"":0.4}",score<sell,19177337926
2025-11-07T18:20:48.015438+00:00,portfolio_max_autotrader,ICLN,BUY,24.6482,17.412395,10.0,0.0,0.0,-429.18,3078.3,24.6482,"{""TS"":0.476916,""NS"":0.56297,""CDS"":0.511338,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.015571+00:00,portfolio_max_autotrader,JPM,BUY,1.3762,311.85154,10.0,0.0,0.0,-429.17,2649.13,1.3762,"{""TS"":0.528508,""NS"":0.365441,""CDS"":0.463281,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.015720+00:00,portfolio_max_autotrader,BE,BUY,3.3426,128.39827,10.0,0.0,0.0,-429.18,2219.95,3.3426,"{""TS"":0.483134,""NS"":0.433288,""CDS"":0.463196,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.015865+00:00,portfolio_max_autotrader,GOOGL,BUY,1.5477,277.30703,10.0,0.0,0.0,-429.19,1790.76,3.5611,"{""TS"":0.497158,""NS"":0.383475,""CDS"":0.451685,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.015996+00:00,portfolio_max_autotrader,FSLR,BUY,1.6464,260.685425,10.0,0.0,0.0,-429.19,1361.57,6.7536,"{""TS"":0.490179,""NS"":0.393307,""CDS"":0.45143,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.018993+00:00,portfolio_paper_reasonable,ICLN,BUY,34.0138,17.412395,10.0,0.0,0.0,-592.26,7398.44,34.0138,"{""TS"":0.476916,""NS"":0.56297,""CDS"":0.511338,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.019175+00:00,portfolio_paper_reasonable,JPM,BUY,1.8992,311.85154,10.0,0.0,0.0,-592.27,6806.17,1.8992,"{""TS"":0.528508,""NS"":0.365441,""CDS"":0.463281,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.019313+00:00,portfolio_paper_reasonable,BE,BUY,4.6127,128.39827,10.0,0.0,0.0,-592.26,6213.91,4.6127,"{""TS"":0.483134,""NS"":0.433288,""CDS"":0.463196,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.019452+00:00,portfolio_paper_reasonable,GOOGL,BUY,2.1358,277.30703,10.0,0.0,0.0,-592.27,5621.63,10.5612,"{""TS"":0.497158,""NS"":0.383475,""CDS"":0.451685,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T18:20:48.019582+00:00,portfolio_paper_reasonable,FSLR,BUY,2.2719,260.685425,10.0,0.0,0.0,-592.25,5029.38,11.0899,"{""TS"":0.490179,""NS"":0.393307,""CDS"":0.45143,""wT"":0.6,""wN"":0.4}",score>buy,19177337926
2025-11-07T19:13:58.183456+00:00,portfolio_paper_aggressive_trades,ICLN,BUY,56.3603,17.432415,10.0,0.0,0.0,-982.5,3006.28,56.3603,"{""TS"":0.480306,""NS"":0.564672,""CDS"":0.514052,""wT"":0.6,""wN"":0.4}",score>buy,19178602175
